Time [s],Value,Parity Error,Framing Error
1.793723,A,,
1.793983,L,,
1.794243,~,,
1.794503,R,,
1.794763,E,,
1.795023,A,,
1.795283,D,,
1.795543,Y,,
2.072396,L,,
2.072656,C,,
2.072916,S,,
2.073176,A,,
2.073436,'250',,
2.073696,Q,,
2.073956,'160',,
2.074216,'0',,
2.074476,\n,,
2.074736,'0',,
2.074996,\n,,
2.075256,'192',,
2.075516,'14',,
2.075776,'185',,
2.076036,'155',,
2.076296,'0',,
2.076556,'11',,
2.076816,'0',,
2.077076,'0',,
2.077336,'0',,
2.077596,'0',,
2.077856,'0',,
2.078116,'225',,
2.078376,'142',,
2.078636,'160',,
2.078896,'129',,
2.079156,'169',,
2.079416,'154',,
2.079677,'176',,
2.079937,'139',,
2.080196,'19',,
2.080457,'140',,
2.080717,'4',,
2.080977,'0',,
2.1052,L,,
2.10546,C,,
2.10572,S,,
2.10598,A,,
2.10624,'250',,
2.1065,Q,,
2.10676,'160',,
2.10702,'0',,
2.10728,\n,,
2.10754,'0',,
2.1078,'11',,
2.10806,'192',,
2.10832,'14',,
2.10858,'185',,
2.10884,'155',,
2.1091,'0',,
2.10936,'11',,
2.10962,'0',,
2.10988,'0',,
2.11014,'0',,
2.1104,'0',,
2.11066,'0',,
2.11092,'225',,
2.11118,'142',,
2.11144,'160',,
2.1117,'129',,
2.11196,'169',,
2.11222,'154',,
2.11248,'176',,
2.11274,'139',,
2.113,'19',,
2.11326,'140',,
2.113521,'4',,
2.113781,'8',,
2.223963,L,,
2.224223,C,,
2.224483,S,,
2.224743,A,,
2.225003,'250',,
2.225263,Q,,
2.225523,'160',,
2.225783,'0',,
2.226043,\n,,
2.226303,'0',,
2.226563,'11',,
2.226823,'192',,
2.227083,'14',,
2.227343,'185',,
2.227603,'155',,
2.227864,'0',,
2.228124,'11',,
2.228384,'0',,
2.228644,'0',,
2.228904,'0',,
2.229164,'0',,
2.229424,'0',,
2.229684,'225',,
2.229944,'142',,
2.230204,'160',,
2.230464,'129',,
2.230724,'169',,
2.230984,'154',,
2.231244,'176',,
2.231504,'139',,
2.231764,'19',,
2.232024,'140',,
2.232284,'4',,
2.232544,'8',,
2.364881,L,,
2.365141,C,,
2.365401,S,,
2.365661,A,,
2.365921,'250',,
2.366181,Q,,
2.366441,'160',,
2.366701,'0',,
2.366961,\n,,
2.367221,'0',,
2.367481,'11',,
2.367741,'192',,
2.368001,'14',,
2.368261,'185',,
2.368521,'155',,
2.368781,'0',,
2.369041,'11',,
2.369301,'16',,
2.369561,'0',,
2.369821,'0',,
2.370081,'0',,
2.370341,'0',,
2.370601,'225',,
2.370861,'142',,
2.371121,'160',,
2.371381,'129',,
2.371641,'169',,
2.371901,'154',,
2.372161,'176',,
2.372422,'139',,
2.372682,'19',,
2.372942,'140',,
2.373202,'4',,
2.373462,'8',,
2.384883,L,,
2.385143,C,,
2.385403,S,,
2.385663,A,,
2.385923,'250',,
2.386183,Q,,
2.386443,'160',,
2.386703,'0',,
2.386963,\n,,
2.387223,'0',,
2.387483,'11',,
2.387744,'192',,
2.388004,'14',,
2.388264,'185',,
2.388524,'155',,
2.388784,'0',,
2.389044,'11',,
2.389304,0,,
2.389564,'0',,
2.389824,'0',,
2.390084,'0',,
2.390344,'0',,
2.390604,'225',,
2.390864,'142',,
2.391124,'160',,
2.391384,'129',,
2.391644,'169',,
2.391904,'154',,
2.392164,'176',,
2.392424,'139',,
2.392684,'19',,
2.392944,'140',,
2.393204,'4',,
2.393464,'8',,
2.394885,L,,
2.395144,C,,
2.395405,S,,
2.395665,A,,
2.395925,'250',,
2.396185,Q,,
2.396445,'160',,
2.396705,'0',,
2.396965,\n,,
2.397225,'0',,
2.397485,'11',,
2.397745,'192',,
2.398005,'14',,
2.398265,'185',,
2.398525,'155',,
2.398785,'0',,
2.399045,'11',,
2.399305,p,,
2.399565,'0',,
2.399825,'0',,
2.400085,'0',,
2.400345,'0',,
2.400605,'225',,
2.400865,'142',,
2.401125,'160',,
2.401385,'129',,
2.401645,'169',,
2.401905,'154',,
2.402165,'176',,
2.402425,'139',,
2.402685,'19',,
2.402945,'140',,
2.403205,'4',,
2.403465,'8',,
2.414889,L,,
2.415149,C,,
2.415409,S,,
2.415669,A,,
2.415929,'250',,
2.416189,Q,,
2.416449,'160',,
2.416709,'0',,
2.416969,\n,,
2.417229,'0',,
2.417489,'11',,
2.417749,'192',,
2.418009,'14',,
2.418269,'185',,
2.418529,'155',,
2.418789,'0',,
2.419049,'11',,
2.419309,'240',,
2.419569,'0',,
2.419829,'0',,
2.420089,'0',,
2.420349,'0',,
2.420609,'225',,
2.420869,'142',,
2.421129,'160',,
2.421389,'129',,
2.421649,'169',,
2.421909,'154',,
2.422169,'176',,
2.422429,'139',,
2.422689,'19',,
2.422949,'140',,
2.423209,'4',,
2.423469,'8',,
2.464895,L,,
2.465155,C,,
2.465415,S,,
2.465675,A,,
2.465935,'250',,
2.466195,Q,,
2.466455,'160',,
2.466715,'0',,
2.466975,\n,,
2.467235,'0',,
2.467495,'11',,
2.467755,'192',,
2.468015,'14',,
2.468275,'185',,
2.468535,'155',,
2.468795,'0',,
2.469055,'11',,
2.469315,'248',,
2.469575,'0',,
2.469835,'0',,
2.470095,'0',,
2.470355,'0',,
2.470615,'225',,
2.470875,'142',,
2.471135,'160',,
2.471395,'129',,
2.471655,'169',,
2.471915,'154',,
2.472175,'176',,
2.472436,'139',,
2.472696,'19',,
2.472956,'140',,
2.473216,'4',,
2.473476,'8',,
2.514901,L,,
2.515161,C,,
2.515421,S,,
2.515681,A,,
2.515941,'250',,
2.516201,Q,,
2.516461,'160',,
2.516721,'0',,
2.516981,\n,,
2.517241,'0',,
2.517501,'11',,
2.517761,'192',,
2.518021,'14',,
2.518281,'185',,
2.518541,'155',,
2.518801,'0',,
2.519061,'11',,
2.519321,'252',,
2.519581,'0',,
2.519841,'0',,
2.520101,'0',,
2.520361,'0',,
2.520622,'225',,
2.520882,'142',,
2.521142,'160',,
2.521402,'129',,
2.521662,'169',,
2.521922,'154',,
2.522182,'176',,
2.522442,'139',,
2.522702,'19',,
2.522962,'140',,
2.523222,'4',,
2.523482,'8',,
2.524171,L,,
2.524431,C,,
2.524691,S,,
2.524951,A,,
2.525211,'250',,
2.525471,Q,,
2.525731,'160',,
2.525991,'0',,
2.526251,\n,,
2.526511,'0',,
2.526771,'11',,
2.527031,'192',,
2.527291,'14',,
2.527551,'185',,
2.527811,'155',,
2.528071,'0',,
2.528331,'11',,
2.528591,'252',,
2.528851,'0',,
2.529111,'0',,
2.529371,'0',,
2.529631,'0',,
2.529891,'225',,
2.530151,'142',,
2.530411,'160',,
2.530671,'129',,
2.530932,'169',,
2.531192,'154',,
