Time [s],Value,Parity Error,Framing Error
0.241123,'0',,
0.241383,'0',,
0.241644,'0',,
0.241904,'0',,
0.242164,'225',,
0.242424,'140',,
0.242684,'224',,
0.242944,\r,,
0.243204,'225',,
0.243464,'140',,
0.243724,'176',,
0.243984,'139',,
0.244244,'19',,
0.244504,'140',,
0.244764,'4',,
0.245024,'8',,
0.2466,L,,
0.24686,C,,
0.24712,S,,
0.24738,A,,
0.24764,'250',,
0.2479,Q,,
0.24816,'160',,
0.24842,'0',,
0.24868,\n,,
0.24894,h,,
0.249201,'29',,
0.249461,'232',,
0.249721,'30',,
0.249981,'185',,
0.250241,'155',,
0.250501,'232',,
0.250761,'31',,
0.25102,'248',,
0.25128,'0',,
0.251541,'0',,
0.251801,'0',,
0.252061,'0',,
0.252321,'160',,
0.252581,'128',,
0.252841,'224',,
0.253101,\r,,
0.253361,'225',,
0.253621,'140',,
0.253881,'176',,
0.254141,'139',,
0.254401,'19',,
0.254661,'140',,
0.254921,'4',,
0.255181,'8',,
0.256623,L,,
0.256883,C,,
0.257143,S,,
0.257403,A,,
0.257663,'250',,
0.257923,Q,,
0.258183,'160',,
0.258443,'0',,
0.258703,\n,,
0.258963,h,,
0.259223,'29',,
0.259483,'232',,
0.259743,'30',,
0.260003,'185',,
0.260263,'155',,
0.260523,'232',,
0.260783,'31',,
0.261043,'248',,
0.261303,'0',,
0.261563,'0',,
0.261823,'0',,
0.262083,'0',,
0.262343,a,,
0.262603,'142',,
0.262863,'224',,
0.263123,\r,,
0.263383,'225',,
0.263643,'140',,
0.263903,'176',,
0.264163,'139',,
0.264423,'19',,
0.264683,'140',,
0.264943,'4',,
0.265203,'8',,
0.266616,L,,
0.266876,C,,
0.267136,S,,
0.267396,A,,
0.267656,'250',,
0.267916,Q,,
0.268176,'160',,
0.268436,'0',,
0.268696,\n,,
0.268956,h,,
0.269216,'29',,
0.269476,'232',,
0.269736,'30',,
0.269996,'185',,
0.270256,'155',,
0.270516,'232',,
0.270776,'31',,
0.271036,'248',,
0.271296,'0',,
0.271556,'0',,
0.271816,'0',,
0.272076,'0',,
0.272336,'224',,
0.272596,'12',,
0.272856,'224',,
0.273116,\r,,
0.273376,'225',,
0.273636,'140',,
0.273896,'176',,
0.274156,'139',,
0.274417,'19',,
0.274677,'140',,
0.274937,'4',,
0.275197,'8',,
0.276619,L,,
0.276879,C,,
0.277139,S,,
0.277399,A,,
0.277659,'250',,
0.277919,Q,,
0.278179,'160',,
0.278439,'0',,
0.278699,\n,,
0.278959,h,,
0.279219,'29',,
0.279479,'232',,
0.279739,'30',,
0.279999,'185',,
0.280259,'155',,
0.280519,'232',,
0.280779,'31',,
0.281039,'248',,
0.281299,'0',,
0.281559,'0',,
0.281819,'0',,
0.282079,'0',,
0.282339,'225',,
