Time [s],Value,Parity Error,Framing Error
2.351546,'255',,
2.351806,'0',,
2.352066,'0',,
2.352326,'0',,
2.352586,'0',,
2.352846,'169',,
2.353106,'154',,
2.353366,a,,
2.353626,'141',,
2.353886,'160',,
2.354146,'128',,
2.354406,'176',,
2.354666,'139',,
2.354926,'19',,
2.355186,'140',,
2.355446,'4',,
2.355706,'8',,
2.388078,L,,
2.388338,C,,
2.388598,S,,
2.388858,A,,
2.389118,'250',,
2.389378,Q,,
2.389638,'160',,
2.389898,'0',,
2.390158,\n,,
2.390418,h,,
2.390678,'29',,
2.390938,'232',,
2.391198,'30',,
2.391458,'185',,
2.391718,'155',,
2.391978,'232',,
2.392238,'23',,
2.392498,'255',,
2.392758,'16',,
2.393018,'0',,
2.393278,'0',,
2.393538,'0',,
2.393798,'169',,
2.394058,'154',,
2.394318,a,,
2.394578,'141',,
2.394838,'160',,
2.395098,'128',,
2.395358,'176',,
2.395618,'139',,
2.395878,'19',,
2.396138,'140',,
2.396398,'4',,
2.396659,'8',,
2.448082,L,,
2.448342,C,,
2.448602,S,,
2.448862,A,,
2.449122,'250',,
2.449382,Q,,
2.449642,'160',,
2.449902,'0',,
2.450162,\n,,
2.450422,h,,
2.450682,'29',,
2.450942,'232',,
2.451202,'30',,
2.451462,'185',,
2.451722,'155',,
2.451982,'232',,
2.452242,'23',,
2.452502,'255',,
2.452762,'0',,
2.453022,'0',,
2.453282,'0',,
2.453542,'0',,
2.453802,'169',,
2.454062,'154',,
2.454322,a,,
2.454582,'141',,
2.454843,'160',,
2.455103,'128',,
2.455363,'176',,
2.455623,'139',,
2.455883,'19',,
2.456143,'140',,
2.456403,'4',,
2.456663,'8',,
2.458085,L,,
2.458345,C,,
2.458605,S,,
2.458865,A,,
2.459125,'250',,
2.459385,Q,,
2.459645,'160',,
2.459905,'0',,
2.460165,\n,,
2.460425,h,,
2.460685,'29',,
2.460945,'232',,
2.461205,'30',,
2.461465,'185',,
2.461725,'155',,
2.461985,'232',,
2.462245,'23',,
2.462505,'255',,
2.462765,'16',,
2.463025,'0',,
2.463285,'0',,
2.463545,'0',,
2.463805,'169',,
2.464065,'154',,
