Time [s],Value,Parity Error,Framing Error
1.169106,A,,
1.169366,L,,
1.169626,~,,
1.169886,R,,
1.170146,E,,
1.170406,A,,
1.170666,D,,
1.170926,Y,,
1.448187,L,,
1.448447,C,,
1.448707,S,,
1.448967,A,,
1.449227,'250',,
1.449487,Q,,
1.449747,'160',,
1.450007,'0',,
1.450267,\n,,
1.450527,'0',,
1.450787,\n,,
1.451047,'192',,
1.451307,'14',,
1.451567,'185',,
1.451827,'155',,
1.452087,'0',,
1.452347,'11',,
1.452607,'0',,
1.452867,'0',,
1.453127,'0',,
1.453387,'0',,
1.453647,'0',,
1.453907,'160',,
1.454167,'128',,
1.454427,'160',,
1.454688,'129',,
1.454948,'169',,
1.455208,'154',,
1.455468,'176',,
1.455728,'139',,
1.455988,'19',,
1.456248,'140',,
1.456508,'4',,
1.456768,'0',,
1.460366,L,,
1.460626,C,,
1.460886,S,,
1.461146,A,,
1.461406,'250',,
1.461666,Q,,
1.461926,'160',,
1.462186,'0',,
1.462446,\n,,
1.462706,'0',,
1.462966,\n,,
1.463226,'192',,
1.463486,'14',,
1.463746,'185',,
1.464006,'155',,
1.464266,'0',,
1.464526,'11',,
1.464786,'0',,
1.465046,'0',,
1.465306,'0',,
1.465566,'0',,
1.465826,'0',,
1.466086,'160',,
1.466347,'128',,
1.466607,'160',,
1.466867,'129',,
1.467127,'169',,
1.467387,'154',,
1.467647,'176',,
1.467907,'139',,
1.468167,'19',,
1.468427,'140',,
1.468687,'4',,
1.468947,'0',,
1.47057,L,,
1.47083,C,,
1.47109,S,,
1.47135,A,,
1.47161,'250',,
1.47187,Q,,
1.47213,'160',,
1.47239,'0',,
1.47265,\n,,
1.472911,'0',,
1.473171,\n,,
1.473431,'192',,
1.473691,'14',,
1.473951,'185',,
1.474211,'155',,
1.474471,'0',,
1.474731,'11',,
1.474991,'0',,
1.475251,'0',,
1.475511,'0',,
1.475771,'0',,
1.476031,'0',,
1.476291,'160',,
1.476551,'128',,
1.476811,'160',,
1.477071,'129',,
1.477331,'169',,
1.477591,'154',,
1.477851,'176',,
1.478111,'139',,
1.478371,'19',,
1.478631,'140',,
1.478891,'4',,
1.479151,'0',,
1.480598,L,,
1.480858,C,,
1.481118,S,,
1.481378,A,,
1.481638,'250',,
1.481898,Q,,
1.482158,'160',,
1.482418,'0',,
1.482678,\n,,
1.482938,'0',,
1.483198,'11',,
1.483458,'192',,
1.483718,'14',,
1.483978,'185',,
1.484238,'155',,
1.484498,'0',,
1.484758,'11',,
1.485018,'0',,
1.485278,'0',,
1.485538,'0',,
1.485798,'0',,
1.486058,'0',,
1.486318,'160',,
1.486578,'128',,
1.486838,'160',,
1.487098,'129',,
1.487358,'169',,
1.487618,'154',,
1.487878,'176',,
1.488138,'139',,
1.488398,'19',,
1.488658,'140',,
1.488918,'4',,
1.489178,'8',,
1.750389,L,,
1.750649,C,,
1.750909,S,,
1.751169,A,,
1.751429,'250',,
1.751689,Q,,
1.751949,'160',,
1.752209,'0',,
1.752469,\n,,
1.752729,'0',,
1.752989,'11',,
1.753249,'192',,
1.753509,'14',,
1.753769,'185',,
1.754029,'155',,
1.754289,'0',,
1.754549,'11',,
1.754809,'16',,
1.755069,'0',,
1.755329,'0',,
1.755589,'0',,
1.755849,'0',,
1.756109,'160',,
1.756369,'128',,
1.756629,'160',,
1.756889,'129',,
1.757149,'169',,
1.757409,'154',,
1.757669,'176',,
1.75793,'139',,
1.75819,'19',,
1.75845,'140',,
1.75871,'4',,
1.75897,'8',,
1.770243,L,,
1.770503,C,,
1.770763,S,,
1.771023,A,,
1.771284,'250',,
1.771544,Q,,
1.771804,'160',,
1.772064,'0',,
1.772324,\n,,
1.772584,'0',,
1.772844,'11',,
1.773104,'192',,
1.773364,'14',,
1.773624,'185',,
1.773884,'155',,
1.774144,'0',,
1.774404,'11',,
1.774664,0,,
1.774924,'0',,
1.775184,'0',,
1.775444,'0',,
1.775704,'0',,
1.775964,'160',,
1.776224,'128',,
1.776484,'160',,
1.776744,'129',,
1.777004,'169',,
1.777264,'154',,
1.777524,'176',,
1.777784,'139',,
1.778044,'19',,
1.778304,'140',,
1.778564,'4',,
1.778824,'8',,
1.790282,L,,
1.790542,C,,
1.790802,S,,
1.791062,A,,
1.791322,'250',,
1.791582,Q,,
1.791842,'160',,
1.792102,'0',,
1.792362,\n,,
1.792622,'0',,
1.792882,'11',,
1.793142,'192',,
1.793402,'14',,
1.793662,'185',,
1.793922,'155',,
1.794182,'0',,
1.794442,'11',,
1.794702,p,,
1.794962,'0',,
1.795222,'0',,
1.795482,'0',,
1.795742,'0',,
1.796002,'160',,
1.796262,'128',,
1.796522,'160',,
1.796782,'129',,
1.797042,'169',,
1.797302,'154',,
1.797562,'176',,
1.797822,'139',,
1.798082,'19',,
1.798342,'140',,
1.798602,'4',,
1.798862,'8',,
1.830275,L,,
1.830535,C,,
1.830795,S,,
1.831055,A,,
1.831315,'250',,
1.831575,Q,,
1.831835,'160',,
1.832095,'0',,
1.832355,\n,,
1.832615,'0',,
1.832875,'11',,
1.833135,'192',,
1.833396,'14',,
1.833656,'185',,
1.833916,'155',,
1.834176,'0',,
1.834436,'11',,
1.834696,'240',,
1.834956,'0',,
1.835216,'0',,
1.835476,'0',,
1.835736,'0',,
1.835996,'160',,
1.836256,'128',,
1.836516,'160',,
1.836776,'129',,
1.837036,'169',,
1.837296,'154',,
1.837556,'176',,
1.837816,'139',,
1.838076,'19',,
1.838336,'140',,
1.838596,'4',,
1.838856,'8',,
1.98029,L,,
1.980551,C,,
1.980811,S,,
1.981071,A,,
1.981331,'250',,
1.981591,Q,,
1.981851,'160',,
1.982111,'0',,
1.982371,\n,,
1.982631,'0',,
1.982891,'11',,
1.983151,'192',,
1.983411,'14',,
1.983671,'185',,
1.983931,'155',,
1.984191,'0',,
1.984451,'11',,
1.984711,'248',,
1.984971,'0',,
1.985231,'0',,
1.985491,'0',,
1.985751,'0',,
1.986011,'160',,
1.986271,'128',,
1.986531,'160',,
1.986791,'129',,
1.987051,'169',,
1.987311,'154',,
1.987571,'176',,
1.987831,'139',,
1.988091,'19',,
1.988351,'140',,
1.988611,'4',,
1.988871,'8',,
2.069572,L,,
