Time [s],Value,Parity Error,Framing Error
1.597095,A,,
1.597355,L,,
1.597615,~,,
1.597875,R,,
1.598135,E,,
1.598395,A,,
1.598655,D,,
1.598915,Y,,
1.8758,L,,
1.87606,C,,
1.87632,S,,
1.87658,A,,
1.87684,'250',,
1.8771,Q,,
1.87736,'160',,
1.87762,'0',,
1.87788,\n,,
1.87814,h,,
1.8784,'28',,
1.87866,'232',,
1.87892,'30',,
1.87918,'185',,
1.87944,'155',,
1.8797,'232',,
1.87996,'23',,
1.88022,'0',,
1.88048,'0',,
1.88074,'0',,
1.881,'0',,
1.88126,'0',,
1.88152,'169',,
1.88178,'154',,
1.88204,a,,
1.8823,'141',,
1.88256,'160',,
1.88282,'128',,
1.88308,'176',,
1.883341,'139',,
1.883601,'19',,
1.88386,'140',,
1.884121,'4',,
1.884381,'0',,
1.908615,L,,
1.908875,C,,
1.909135,S,,
1.909395,A,,
1.909655,'250',,
1.909915,Q,,
1.910175,'160',,
1.910435,'0',,
1.910695,\n,,
1.910955,h,,
1.911215,'29',,
1.911475,'232',,
1.911735,'30',,
1.911995,'185',,
1.912255,'155',,
1.912515,'232',,
1.912775,'23',,
1.913035,'0',,
1.913296,'0',,
1.913556,'0',,
1.913816,'0',,
1.914076,'0',,
1.914336,'169',,
1.914596,'154',,
1.914856,a,,
1.915116,'141',,
1.915376,'160',,
1.915636,'128',,
1.915896,'176',,
1.916156,'139',,
1.916416,'19',,
1.916676,'140',,
1.916936,'4',,
1.917196,'8',,
1.967329,L,,
1.967589,C,,
1.967849,S,,
1.968109,A,,
1.968369,'250',,
1.968629,Q,,
1.968889,'160',,
1.969149,'0',,
1.969409,\n,,
1.969669,h,,
1.969929,'29',,
1.970189,'232',,
1.970449,'30',,
1.970709,'185',,
1.970969,'155',,
1.971229,'232',,
1.971489,'23',,
1.971749,'0',,
1.972009,'0',,
1.972269,'0',,
1.972529,'0',,
1.972789,'0',,
1.973049,'169',,
1.973309,'154',,
1.973569,a,,
1.973829,'141',,
1.974089,'160',,
1.97435,'128',,
1.97461,'176',,
1.97487,'139',,
1.97513,'19',,
1.97539,'140',,
1.97565,'4',,
1.97591,'8',,
2.168294,L,,
2.168554,C,,
2.168815,S,,
2.169074,A,,
2.169335,'250',,
2.169595,Q,,
2.169855,'160',,
2.170115,'0',,
2.170375,\n,,
2.170635,h,,
2.170895,'29',,
2.171155,'232',,
2.171415,'30',,
2.171675,'185',,
2.171935,'155',,
2.172195,'232',,
2.172455,'23',,
2.172715,'16',,
2.172975,'0',,
2.173235,'0',,
2.173495,'0',,
2.173755,'0',,
2.174015,'169',,
2.174275,'154',,
2.174535,a,,
2.174795,'141',,
2.175055,'160',,
2.175315,'128',,
2.175575,'176',,
2.175835,'139',,
2.176095,'19',,
2.176355,'140',,
2.176615,'4',,
2.176875,'8',,
2.178299,L,,
2.178559,C,,
2.178819,S,,
2.179079,A,,
2.179339,'250',,
2.179599,Q,,
2.179859,'160',,
2.180119,'0',,
2.180379,\n,,
2.180639,h,,
2.180899,'29',,
2.181159,'232',,
2.181419,'30',,
2.181679,'185',,
2.181939,'155',,
2.182199,'232',,
2.182459,'23',,
2.182719,0,,
2.182979,'0',,
2.183239,'0',,
2.183499,'0',,
2.183759,'0',,
2.18402,'169',,
2.184279,'154',,
2.18454,a,,
2.1848,'141',,
2.18506,'160',,
2.18532,'128',,
2.18558,'176',,
2.18584,'139',,
2.1861,'19',,
2.18636,'140',,
2.18662,'4',,
2.18688,'8',,
2.198301,L,,
2.198561,C,,
2.198821,S,,
2.199081,A,,
2.199341,'250',,
