Time [s],Value,Parity Error,Framing Error
1.201572,'0',,Error
1.321405,A,,
1.321664,L,,
1.321923,~,,
1.322182,R,,
1.32244,E,,
1.322699,A,,
1.322958,D,,
1.323217,Y,,
1.323476,\r,,
1.323735,\n,,
1.610449,S,,
1.610708,W,,
1.610967,D,,
1.611226,A,,
1.611485,0,,
1.611744,0,,
1.612003,0,,
1.612262,0,,
1.612521,0,,
1.612779,0,,
1.613038,0,,
1.613297,0,,
1.613556,5,,
1.613815,3,,
1.614074,4,,
1.614333,B,,
1.614592,1,,
1.614851,F,,
1.61511,0,,
1.615369,0,,
1.615628,8,,
1.615886,0,,
1.616145,0,,
1.616404,1,,
1.616663,0,,
1.616922,0,,
1.617181,\r,,
1.61744,\n,,
4.796936,S,,
4.797195,W,,
4.797454,D,,
4.797713,V,,
4.797971,5,,
4.79823,2,,
4.798489,4,,
4.798748,B,,
4.799007,1,,
4.799266,F,,
4.799525,0,,
4.799784,0,,
4.800043,0,,
4.800302,1,,
4.800561,0,,
4.800819,0,,
4.801078,\r,,
4.801337,\n,,
4.806894,S,,
4.807153,W,,
4.807412,D,,
4.807671,V,,
4.80793,5,,
4.808189,4,,
4.808448,4,,
4.808706,B,,
4.808965,1,,
4.809224,F,,
4.809483,0,,
4.809742,0,,
4.810001,0,,
4.81026,1,,
4.810519,0,,
4.810778,0,,
4.811037,\r,,
4.811296,\n,,
4.816904,S,,
4.817163,W,,
4.817422,D,,
4.817681,V,,
4.81794,5,,
4.818199,3,,
4.818458,4,,
4.818716,B,,
4.818975,1,,
4.819234,F,,
4.819493,0,,
4.819752,0,,
4.820011,0,,
4.82027,1,,
4.820529,0,,
4.820788,0,,
4.821047,\r,,
4.821306,\n,,
