Time [s],Value,Parity Error,Framing Error
1.398186,'0',,Error
1.518042,A,,
1.518301,L,,
1.51856,~,,
1.518819,R,,
1.519078,E,,
1.519337,A,,
1.519595,D,,
1.519854,Y,,
1.520113,\r,,
1.520372,\n,,
1.807088,S,,
1.807347,W,,
1.807606,D,,
1.807865,A,,
1.808124,0,,
1.808383,0,,
1.808642,0,,
1.808901,0,,
1.80916,0,,
1.809418,0,,
1.809677,0,,
1.809936,0,,
1.810195,5,,
1.810454,3,,
1.810713,4,,
1.810972,B,,
1.811231,1,,
1.81149,F,,
1.811749,0,,
1.812008,0,,
1.812266,8,,
1.812525,0,,
1.812784,0,,
1.813043,1,,
1.813302,0,,
1.813561,0,,
1.81382,\r,,
1.814079,\n,,
2.713196,S,,
2.713455,W,,
2.713714,D,,
2.713973,V,,
2.714232,5,,
2.714491,3,,
2.71475,4,,
2.715009,B,,
2.715268,1,,
2.715526,E,,
2.715785,0,,
2.716044,0,,
2.716303,0,,
2.716562,1,,
2.716821,0,,
2.71708,0,,
2.717339,\r,,
2.717598,\n,,
2.733165,S,,
2.733423,W,,
2.733682,D,,
2.733941,V,,
2.7342,5,,
2.734459,3,,
2.734718,4,,
2.734977,B,,
2.735236,1,,
2.735495,F,,
2.735754,0,,
2.736013,0,,
2.736272,0,,
2.73653,1,,
2.736789,0,,
2.737048,0,,
2.737307,\r,,
2.737566,\n,,
