Time[s], Radio -> Head, Head -> Radio, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0, 1, 1, 1, 1, 1, 1, 1, 1
0.143488291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.143564125, 1, 1, 1, 1, 1, 1, 1, 1
0.143618291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.143668125, 1, 1, 1, 1, 1, 1, 1, 1
0.143696291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.143720166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.143748333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.143772166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.143826291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.143928125, 1, 1, 1, 1, 1, 1, 1, 1
0.143956375, 0, 1, 1, 1, 1, 1, 1, 1
0.143980208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144008333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144032166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.144086333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144136208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144164333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144188208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144216333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144240208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144268375, 0, 1, 1, 1, 1, 1, 1, 1
0.144292208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144320333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144448208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144476375, 0, 1, 1, 1, 1, 1, 1, 1
0.14450025, 1, 1, 1, 1, 1, 1, 1, 1
0.144528416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.14457825, 1, 1, 1, 1, 1, 1, 1, 1
0.144606375, 0, 1, 1, 1, 1, 1, 1, 1
0.14463025, 1, 1, 1, 1, 1, 1, 1, 1
0.144788458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144812291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.144840375, 0, 1, 1, 1, 1, 1, 1, 1
0.144916291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.144944458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.144968291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.144996416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.145020291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.145048458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.145202291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.145230458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.145254291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.145308375, 0, 1, 1, 1, 1, 1, 1, 1
0.145540333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.1455685, 0, 1, 1, 1, 1, 1, 1, 1
0.145618333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.145646541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.145670333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.1456985, 0, 1, 1, 1, 1, 1, 1, 1
0.145800375, 1, 1, 1, 1, 1, 1, 1, 1
0.145828458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.146060375, 1, 1, 1, 1, 1, 1, 1, 1
0.146088541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.146112416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.146166583333333, 0, 1, 1, 1, 1, 1, 1, 1
0.146190416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.146218541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.146320416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.146348583333333, 0, 1, 1, 1, 1, 1, 1, 1
